 Barret	Speaker	BarretThe planet's dyin', Cloud!	Cloud	Referent
 Barret	Speaker	BarretWhen we blow this place, this ain't gonna be nothin' more than a hunka junk.Cloud, you set the bomb.	Cloud	Referent
 Barret	Speaker	BarretWhat's wrong, Cloud? Hurry it up!	Cloud	Referent
 Barret	Speaker	BarretC'mon Cloud.	Cloud	Referent
 Barret	Speaker	BarretRufus!? I gotta pay my respects.	Rufus	Referent
 Barret	Speaker	BarretGood luck Cloud! If you make it, we'll follow you!Whoa, I'll hold the PHS for you. It'll break if it gets wet.	Cloud	Referent
 Barret	Speaker	BarretHey!! Cloud!!	Cloud	Referent
 Barret	Speaker	BarretThen just leave it.If we can't take it, then neither can Sephiroth, right?	Sephiroth	Referent
 Barret	Speaker	BarretUrrggggggh!!!! Cloud!!	Cloud	Referent
 Barret	Speaker	BarretHEY! Cloud, you #$#&amp;@!	Cloud	Referent
 Barret	Speaker	BarretThat's one damn tiny hole. You tellin' me to squeeze into that to get under the Plate? No way!Yo, Cloud, what're we gonna do?	Cloud	Referent
 Barret	Speaker	BarretDon't be wastin' time. Never know when the Shinra'll find us.Cloud you jes' gotta go.	Cloud	Referent
 Barret	Speaker	BarretDamn straight.Tifa's old friend... That ain't good enough.	Tifa	Referent
 Barret	Speaker	BarretYo, Cloud! We've gotta do somethin' 'bout him!	Cloud	Referent
 Barret	Speaker	BarretIt's gonna blow! Let's go, Tifa!	Tifa	Referent
 Barret	Speaker	BarretYuffie, so you're...!	Yuffie	Referent
 Barret	Speaker	BarretYo... where's that $#@^% Yuffie...?	Yuffie	Referent
 Barret	Speaker	BarretWait, that damn Yuffie's still gotta be somewhere in this cheap town! Or you all jes' gonna go on?	Yuffie	Referent
 Barret	Speaker	BarretShit! Tifa, you oughtta know by now.	Tifa	Referent
 Barret	Speaker	BarretCloud, you stay the hell out of it! This is MY problem!!	Cloud	Referent
 Barret	Speaker	BarretAwright then.Cloud, you go.We'll wait down here.Hurry up an' win that Chocobo Race, an' get us outta here!	Cloud	Referent
 Barret	Speaker	BarretThis Sephiroth guy's pretty strong, I'd say.	Sephiroth	Referent
 Barret	Speaker	BarretSo PLAY! ...messin' round #@^%$!Don't forget we're after Sephiroth!	Sephiroth	Referent
 Barret	Speaker	BarretMarlene!! Aerith was caught because of Marlene!?I'm sorry. Marlene's my daughter. I'm... really... sorry...	Aerith	Referent
 Barret	Speaker	BarretCloud!You gonna go help Aerith, right? She's done so much for me...If it's the Shinra you're dealin' with, I can't just sit here! I'm comin', too!	Cloud	Referent
 Barret	Speaker	BarretCloud!You gonna go help Aerith, right? She's done so much for me...If it's the Shinra you're dealin' with, I can't just sit here! I'm comin', too!	Aerith	Referent
 Barret	Speaker	BarretHey yo! Wait up.That way goes to the Mountains up north. Let's hurry and find Aerith.	Aerith	Referent
 Barret	Speaker	BarretYo, Cloud. Let's take a break here.	Cloud	Referent
 Barret	Speaker	BarretCloud, what is it?	Cloud	Referent
 Barret	Speaker	BarretWh, what! Sephiroth!?	Sephiroth	Referent
 Barret	Speaker	BarretWhich way'd that damn foo' Sephiroth go?	Sephiroth	Referent
 Barret	Speaker	BarretLook, Cloud. It's Rufus and Heidegger.They're this close but we can't do a thing to 'em...Ummmm...... Gmmmmm......How can he...... Goin' off laughin' like that?Because of him, Biggs...... Wedge...... Jessie......!Ggggggggh... Ggggh......! Ggggggghhh!!God!! I can't take it anymore!I'm gonna settle things here and now......	Cloud	Referent
 Barret	Speaker	BarretLook, Cloud. It's Rufus and Heidegger.They're this close but we can't do a thing to 'em...Ummmm...... Gmmmmm......How can he...... Goin' off laughin' like that?Because of him, Biggs...... Wedge...... Jessie......!Ggggggggh... Ggggh......! Ggggggghhh!!God!! I can't take it anymore!I'm gonna settle things here and now......	Rufus	Referent
 Barret	Speaker	BarretDamn, did they find us!?Hey, that don't seem like us. Do they mean... Tifa and the others!?Get off your spikey butt and let's go, Cloud!	Tifa	Referent
 Barret	Speaker	BarretDamn, did they find us!?Hey, that don't seem like us. Do they mean... Tifa and the others!?Get off your spikey butt and let's go, Cloud!	Cloud	Referent
 Barret	Speaker	BarretLook, Cloud!!	Cloud	Referent
 Barret	Speaker	BarretI don't know WHAT the hell's goin' on!Cloud, why don't you explain to me what's happened so far?	Cloud	Referent
 Barret	Speaker	BarretEveryone's out looking for Aerith.	Aerith	Referent
 Barret	Speaker	BarretYeah, godammit! It's 'cuz of you that Sephiroth got the Black Materia in the first place. It's your damn fault!	Sephiroth	Referent
 Barret	Speaker	BarretWait a minute, Tifa. Give him a little time.He has to decide this on his own.You believe in Cloud... right?	Tifa	Referent
 Barret	Speaker	BarretWait a minute, Tifa. Give him a little time.He has to decide this on his own.You believe in Cloud... right?	Cloud	Referent
 Barret	Speaker	BarretHey, how are you?I just wanna know, which is it gonna be?You wanna find out about yourself? Or are you afraid to find out?Either way, you stay around here and about all you can do is worry about it.Even if you do go nuts again when you see Sephiroth... If it happens, it happens.I'll go upside your spikey white head and bring you back to normal!	Sephiroth	Referent
 Barret	Speaker	BarretI'm Barret, of AVALANCHE.	Barret	Referent
 Barret	Speaker	BarretI heard about this place before.Every floor above the 60th is special and not easy to get to even for employees.Must be where they took Aerith.The security's pretty light now. Awright, let's go!!	Aerith	Referent
 Barret	Speaker	BarretAin't gonna be no other way! If we keep wastin' time like this, Aerith'll...	Aerith	Referent
 Barret	Speaker	BarretDA-MN...!I don't care where, Cloud! Just stop it!	Cloud	Referent
 Barret	Speaker	BarretY, yo, Tifa! Don't go off by yourself...	Tifa	Referent
 Barret	Speaker	BarretHey Cloud!You come all this way, you thinkin' of goin' back down to the 1st floor?	Cloud	Referent
 Barret	Speaker	BarretLookit that, all them guards is runnin' around.Cloud, you go on ahead and signal us when it's safe to come.When those guards turn around, MOVE!	Cloud	Referent
 Barret	Speaker	BarretI remember him.That Hojo guy. He's in charge of the Shinra's Science Department. Cloud, don't you know him?	Cloud	Referent
 Barret	Speaker	BarretNow we've saved Aerith, ain't no need to be in this buildin'! So let's get the hell outta here!	Aerith	Referent
 Barret	Speaker	BarretHey!Aerith is an Ancient and the real name of the Ancients is Cetra.The Ancients know where the Promised Land is and the Shinra is searching for that Promised Land.I only heard stories 'bout the Promised Land. I don't know if it really exists.Is that right?The Shinra believe that the Promised Land is full of Mako energy.Which means, if the Shinra get there, they'll suck up all the Mako energy....and the land'll wither away. The Planet's gonna get weaker.I can't just leave 'em be. I'm recruitin' new members!!Me, Tifa, Cloud... and Aerith too.	Tifa	Referent
 Barret	Speaker	BarretHey!Aerith is an Ancient and the real name of the Ancients is Cetra.The Ancients know where the Promised Land is and the Shinra is searching for that Promised Land.I only heard stories 'bout the Promised Land. I don't know if it really exists.Is that right?The Shinra believe that the Promised Land is full of Mako energy.Which means, if the Shinra get there, they'll suck up all the Mako energy....and the land'll wither away. The Planet's gonna get weaker.I can't just leave 'em be. I'm recruitin' new members!!Me, Tifa, Cloud... and Aerith too.	Cloud	Referent
 Barret	Speaker	BarretHey!Aerith is an Ancient and the real name of the Ancients is Cetra.The Ancients know where the Promised Land is and the Shinra is searching for that Promised Land.I only heard stories 'bout the Promised Land. I don't know if it really exists.Is that right?The Shinra believe that the Promised Land is full of Mako energy.Which means, if the Shinra get there, they'll suck up all the Mako energy....and the land'll wither away. The Planet's gonna get weaker.I can't just leave 'em be. I'm recruitin' new members!!Me, Tifa, Cloud... and Aerith too.	Aerith	Referent
 Barret	Speaker	BarretRufus! &*%$! I forgot about him!	Rufus	Referent
 Barret	Speaker	BarretVice President Rufus. The President's son.I heard that he's been assigned somewhere else for a long time...	Rufus	Referent
 Barret	Speaker	BarretAwright, Cloud!	Cloud	Referent
 Barret	Speaker	BarretWho you callin' Mr. Barret? That don't sound right!	Barret	Referent
 Barret	Speaker	BarretTifa! Where's Cloud?	Tifa	Referent
 Barret	Speaker	BarretTifa! Where's Cloud?	Cloud	Referent
 Barret	Speaker	BarretHuh? What's up? Where's Cloud?	Cloud	Referent
 Barret	Speaker	BarretWe told Aerith's mom to go somewhere safe, so Marlene should be safe too.	Aerith	Referent
 Barret	Speaker	BarretHmmph, Cloud. You're the one, who's always hangin' around wastin' time. I'm going to skip this resort!	Cloud	Referent
 Barret	Speaker	BarretYo, Cloud! Still too early, ain't it?	Cloud	Referent
 Barret	Speaker	BarretYo, Cloud! Still too early, ain't it?	Cloud	Referent
 Barret	Speaker	BarretSo let's hear your story......You know, the one about Sephiroth and the crisis facing the planet.Let's hear it all.	Sephiroth	Referent
 Barret	Speaker	BarretYou wait a minute!!Isn't that, um...? The name of Sephiroth's mother...I remember Jenova. That's that damn headless spook livin' in the Shinra building.	Sephiroth	Referent
 Barret	Speaker	BarretTifa, I was only......	Tifa	Referent
 Barret	Speaker	BarretDamn! Don't none of this make sense!I'm going, going, going, gone!And I'm leavin' the thinkin' to you!Yo, Cloud! Let's get a move on!	Cloud	Referent
 Barret	Speaker	BarretCloud, what's wrong? You just gonna stand there while Sephiroth heads for the Promised Land?I ain't lettin' Sephiroth or Shinra get to no Promised Land. If they do, then we're all screwed.Y'know what I'm sayin'!	Cloud	Referent
 Barret	Speaker	BarretCloud, what's wrong? You just gonna stand there while Sephiroth heads for the Promised Land?I ain't lettin' Sephiroth or Shinra get to no Promised Land. If they do, then we're all screwed.Y'know what I'm sayin'!	Sephiroth	Referent
 Barret	Speaker	BarretYo, Cloud. Here.	Cloud	Referent
 Barret	Speaker	BarretYo, Cloud! Over here, now!	Cloud	Referent
 Barret	Speaker	BarretOk! Go on ahead.You! Cloud!! Get off your slow-movin' ass!!	Cloud	Referent
 Barret	Speaker	BarretYo, Cloud! There's somethin' I wanna ask ya.Was there anyone from SOLDIER fighting us today?	Cloud	Referent
 Barret	Speaker	BarretTifa! Let him go!Looks like he still misses the Shinra!	Tifa	Referent
 Barret	Speaker	BarretOur target's the Sector 5 Reactor. Head for the station first.I'll fill you in on the train.Yo! Cloud!Before the next mission, I got somethin' I wanna ask you!I, uh,...... I don't really know how to use Materia!I'll give you that Materia you found. Just teach me how to use it!	Cloud	Referent
